title,summary,is_word_play,Разметка - механизм 1,Разметка - механизм 2,Комментарий,URL,creation_date,article_url
"Себяизвержение // Владимир Зеленский пять часов говорил, но мало что объяснил","Президент Украины Владимир Зеленский 26 ноября попытался объяснить, что происходит в его стране, в отношениях его страны с Россией и в его отношениях с богатейшим украинцем Ринатом Ахметовым. Вышло долго, скандально и не очень убедительно. Впрочем, спецкор “Ъ” Владимир Соловьев расслышал в выступлении украинского лидера желание перезапустить переговоры по Донбассу и даже готовность к уступкам.",Да,Словообразование,,,,2021-11-27,
ЦРУ гонит микроволну // В отношениях России и США может появиться раздражитель неизвестного происхождения,"Глава ЦРУ Уильям Бернс предупредил российских коллег о том, что если Москва стоит за возникновением у американских госслужащих «гаванского синдрома», то Вашингтон не оставит это без ответа. Об этом сообщила газета The Washington Post. В Кремле категорически отрицают причастность России к соответствующим инцидентам. Между тем сами власти США пока не уверены, что стоит за загадочным синдромом — акустические атаки, направленная энергия, массовый психоз или обычные сверчки.",Да,Трансформация фразеологизмов,,гнать волну,https://ru.wiktionary.org/wiki/гнать_волну,2021-11-26,
Истина в Ручье // Президент Сербии приложился к нему на несколько часов,"25 ноября в Сочи президент России Владимир Путин встретился с президентом Сербии Александром Вучичем. Специальный корреспондент “Ъ” Андрей Колесников считает, что даже после их короткого разговора в начале встречи стало ясно: президент Сербии получит то, за чем приехал в Россию. И он получил.",Да,Трансформация фразеологизмов,,истина в вине,https://ru.wikipedia.org/wiki/In_vino_veritas,2021-11-25,
Ненормандское положение вещей // Украина и Россия бряцают воинственными заявлениями,"Киев предупредил Москву: нападение на Украину дорого обойдется России. Российская сторона тем временем заявила, что украинская власть перешла все границы и ведет в Донбассе наступательные боевые действия. Риторика ужесточилась на фоне сообщений о концентрации войск РФ у украинских границ и отсутствия переговоров о мирном урегулировании конфликта на востоке Украины — как в Трехсторонней контактной группе, так и в «нормандском формате».",Да,Словообразование,Трансформация устойчивых сочетаний,,,2021-11-25,
Галопом по поправкам // Мосгордума утвердила бюджет столицы на 2022–2024 годы,"Мосгордума (МГД) в среду приняла городской бюджет на 2022–2024 годы. Отличительной чертой его рассмотрения в этом году стал обновленный регламент, ограничивший депутатов в выступлениях, благодаря чему время обсуждения заметно сократилось. Кроме того, число поправок ко второму чтению по сравнению с предыдущим годом снизилось вдвое, а на их подготовку отвели на сутки меньше. Помимо предложений «Единой России» и лояльного мэрии объединения «Моя Москва» по традиции были одобрены и несколько поправок оппозиции: на сей раз очередь дошла до фракции «Яблоко».",Да,Трансформация фразеологизмов,,Галопом по Европам,https://ru.wiktionary.org/wiki/галопом_по_Европам,2021-11-25,
Энергетиков просят не темнить // Минэнерго предлагает отменить механизм завышения ночных энергоцен,"Как выяснил “Ъ”, Минэнерго неожиданно для отрасли предложило полностью отменить механизм, позволяющий генераторам искусственно поднимать цены на электроэнергию в ночные часы. Промышленность безуспешно добивалась такого решения десять лет, но теперь вопрос, по данным “Ъ”, дошел до президента Владимира Путина. Минэнерго хочет отказаться от инструмента уже с февраля 2022 года. Бизнес ожидает снижения общего платежа за электроэнергию до 40 млрд руб. в год. Генераторы критикуют инициативу и просят решать проблемы рынка комплексно.",Да,Полисемия,,,,2021-11-25,
Интернет пошаговой доступности // Операторы просят доработать критерии социальной значимости сайтов,"Комиссия по связи Российского союза промышленников и предпринимателей (РСПП) и операторы раскритиковали проект постановления правительства, разработанный Минцифры, который утверждает порядок ведения перечня социально значимых ресурсов в рамках закона о доступном интернете. По текущей редакции, считают компании, в перечень могут попасть зарубежные ресурсы, видеоплатформы и сервисы с рекламой. Минцифры утверждает, что уже доработало документ так, чтобы этого не произошло.",Да,Полисемия,,,,2021-11-25,
"У России два союзника, и те не союзники // Глава МИД РФ обсудил глобальные проблемы с коллегами из Индии и Китая","Формат Россия—Индия—Китай (РИК) жив, востребован и даже необходим для формирования «демократического многополярного мироустройства». В этом заверили друг друга участники онлайн-встречи глав МИДов трех стран, которая состоялась в пятницу. Между тем де-факто сотрудничество в рамках РИК переживает глубокий кризис на фоне противостояния Дели и Пекина в Восточном Ладакхе, а также других разногласий. Держать формат на плаву удается прежде всего за счет России, которая имеет хорошие отношения с двумя остальными сторонами треугольника.",Да,Отсылка к прецедентным текстам,,У России есть только два союзника — её армия и флот,https://ru.wikipedia.org/wiki/У_России_есть_только_два_союзника_—_её_армия_и_флот,2021-11-26,
Индиологическая основа // Без нее Владимир Путин не чувствует себя спокойно,"6 декабря президент России Владимир Путин прилетел в столицу Индии город Нью-Дели и встретился с премьер-министром Индии Нарендрой Моди. Самым большим достижением этого визита специальный корреспондент “Ъ” Андрей Колесников считает то, что Владимир Путин туда поехал.",Да,Словообразование,,,,2021-06-12,
Стены из русской жизни // «Война и мир» Римаса Туминаса в Театре имени Вахтангова,"К столетнему юбилею Театра имени Вахтангова Римас Туминас, руководящий театром с 2007 года, поставил «Войну и мир» Толстого. Роман-эпопея превратился в пятичасовой спектакль. О чем он, выясняла Алла Шендерова.",Да,Отсылка к прецедентным текстам,,,https://ru.wikipedia.org/wiki/Сцены_из_супружеской_жизни,2021-01-12,
Продолжая в тех же духах // Джейсон Райтман реанимировал «Охотников за привидениями»,"В прокат выходит фантастическая комедия Джейсона Райтмана «Охотники за привидениями: Наследники» — продолжение культовой дилогии, снятой в 1980-х отцом режиссера Айваном Райтманом. Фильм сделан фанатами для фанатов, но Юлия Шагельман не уверена, что это удачный подход к воскрешению франшизы.",Да,Трансформация фразеологизмов,,продолжать в том же духе,https://ru.wiktionary.org/wiki/продолжать_в_том_же_духе,2021-02-12,
"«Единой России» добавили единства // Партия готова ко всем предстоящим выборам, включая президентские","4 декабря в «Единой России» прошла ротация ее руководящих органов. Хотя первые лица партии сохранили свои должности, источники “Ъ” и эксперты считают, что партия становится более подконтрольной администрации президента: это видно, в частности, по новому составу заместителей секретаря генсовета Андрея Турчака и президиума генсовета. Собеседники “Ъ” отмечают, что партия все больше напоминает избирательный штаб. Некоторые из них связывают это с подготовкой к следующим президентским выборам. Эксперты же полагают, что от ЕР власти нужна дисциплинированность и проведение инициатив правительства и Кремля в неизменном виде.",Да,Оксюморон,,,,2021-06-12,
Саммит в самом Дели // После двухлетнего перерыва лидеры России и Индии определят новую стратегию партнерства,"Президент России Владимир Путин в понедельник посетит Индию, где встретится с премьер-министром страны Нарендрой Моди. Вторая за время пандемии зарубежная поездка Владимира Путина, ранее вылетавшего из Москвы лишь один раз — на саммит с президентом США Джо Байденом в Женеве, призвана не только подтвердить значение, которое Москва придает партнерству с Дели. Отношения двух стран проходят сейчас испытание на прочность, что вызвано нарастающей конфронтацией России с США и обострением отношений Индии с Китаем. Оно подталкивает Индию к сближению с Вашингтоном, и это становится серьезным раздражителем в традиционно дружественных отношениях между Москвой и Дели.",Да,Омонимия,,,,2021-06-12,
Вагончики тронулись // Операторы начали активно скупать парк,"На фоне роста спроса железнодорожные операторы и грузоотправители увеличили закупки парка, следует из рейтинга Infoline Rail Russia Top. В январе—сентябре приобретено 44 тыс. вагонов, причем более трети заказов пришлось на фитинговые платформы на фоне роста интереса операторов к контейнерному сегменту. В целом на рынке оперирования преобладает неопределенность, связанная с ростом спроса на перевозки при дефиците парка и заоблачных спотовых ставках, мешающих операторам привлекать вагоны для исполнения сервисных контрактов, где доходность многократно ниже.",Да,Отсылка к прецедентным текстам,,Вагончик тронется — перрон останется.,https://ru.wikipedia.org/wiki/На_Тихорецкую_состав_отправится,2021-06-12,
В гостях у подсказки // Екатеринбургские «Провинциальные танцы» в «Новой опере»,"В «Новой опере» завершился новый проект «Dance резиденция» (о его открытии “Ъ” писал 26 ноября). Первыми резидентами стали Татьяна Баганова и екатеринбургские «Провинциальные танцы», показавшие в четырех программах шесть спектаклей компании, в том числе главную новинку — московскую премьеру спектакля «Синяя Борода». В хитросплетениях притчи о власти и доверии разбиралась Татьяна Кузнецова.",Да,Отсылка к прецедентным текстам,,В гостях у сказки,https://ru.wikipedia.org/wiki/В_гостях_у_сказки,2021-06-12,
"«Динамо» близко // Победив «Уфу», оно получило шанс обогнать «Зенит»","Предпоследний перед зимним перерывом тур чемпионата России обострил интригу в турнире. Обыграв дома — 2:0 — «Уфу», которая еще в первом тайме потеряла сразу двух игроков, «Динамо» вплотную, на расстояние в два очка, приблизилось к лидирующему «Зениту», с которым встречается в следующем туре. А «Краснодар» благодаря победе в увлекательной очной встрече — 2:1 — сравнялся по набранным очкам с «Сочи» и сместил его с третьей строчки в турнирной таблице.",Да,Отсылка к прецедентным текстам,,зима близко,https://ru.wikipedia.org/wiki/Зима_близко,2021-05-12,
"В бой идут как бы одни старики // Дональд Трамп и Джо Байден делают вид, что собираются участвовать в выборах-2024","В интервью британскому телеканалу GB News экс-президент США Дональд Трамп вновь заявил, что будет баллотироваться на президентских выборах в 2024 году. Такое же намерение выражает и действующий президент Джо Байден. Обсуждение политических перспектив двух этих претендентов, несмотря на их внушительный возраст и высокие антирейтинги, всерьез занимает американский политический бомонд. Впрочем, большинство аналитиков считают, что вся шумиха вокруг их возможного участия в президентской гонке не более чем тактические игры, призванные создать благоприятные стартовые условия для реальных кандидатов в президенты, поиск которых республиканцы и демократы уже активно ведут.",Да,Отсылка к прецедентным текстам,,В бой идут одни «старики»,https://ru.wikipedia.org/wiki/В_бой_идут_одни_«старики»,2021-05-12,
Украину натягивают на глобус // Украинский вопрос стал темой номер один в мире,"Украина не просто вернулась в международную повестку, а стала темой номер один. Новую войну и мир там обсуждают официальные лица от Москвы до Вашингтона. Запад грозит России небывалыми санкциями, если та решит дестабилизировать соседнюю страну, но готов поспособствовать мирным переговорам по Донбассу. Кремль смотрит на вопрос шире и одновременно повышает ставки, настаивая на юридических договоренностях по безопасности в Евроатлантике. По сути, Москва хочет реанимировать свою же давнюю идею подписания договора о европейской безопасности.",Да,Трансформация фразеологизмов,,натягивать сову на глобус,https://ru.wiktionary.org/wiki/натягивать_сову_на_глобус,2021-01-12,
"Не судите, да внесудебны будете // Верховный суд продолжает борьбу за уменьшение нагрузки на судей","Верховный суд (ВС) подготовил законопроект о взыскании с россиян долгов по налогам во внесудебном порядке. Среди других инициатив судей — расширение примирительных процедур, обязательное досудебное урегулирование споров с застройщиками и компьютерная программа для изготовления судебных приказов. Все эти задумки объединяет одна цель: снижение нагрузки на судей. До конца года в судах рассчитывают начать апробацию научно обоснованных норм нагрузки, которая пока только растет: по данным председателя ВС Вячеслава Лебедева, за девять месяцев 2021 года суды рассмотрели на 1,2 млн дел больше, чем за тот же период 2020-го.",Да,Трансформация фразеологизмов,,"не судите, да не судимы будете","https://ru.wiktionary.org/wiki/не_судите,_да_не_судимы_будете",2021-03-12,
Эскроумный вопрос // Как проектное финансирование укрепилось в девелоперском бизнесе,"В России завершается переход застройщиков жилья на проектное финансирование и привлечение средств соинвесторов через эскроу-счета. Но далеко не для всех дольщиков этот опыт оказался безболезненным. “Ъ” выяснил, что новые правила пока не в полной мере защищают покупателей жилья от инвестиционных потерь и сноса уже построенных домов.",Да,Словообразование,,,,2021-03-12,
Рукописи не танцуют // В Большом театре поставили «Мастера и Маргариту»,"На Новой сцене Большого театра состоялась мировая премьера двухактного балета Эдварда Клюга «Мастер и Маргарита» на музыку Альфреда Шнитке и Милко Лазара. Татьяна Кузнецова констатирует, что булгаковский роман в очередной раз ускользнул от интерпретаторов.",Да,Отсылка к прецедентным текстам,,,https://ru.wikipedia.org/wiki/Рукописи_не_горят,2021-03-12,
Чья шахта с краю // Что выяснил для себя Владимир Путин на совещании об аварии на «Листвяжной»,"2 декабря в Кремле в режиме видео-конференц-связи президент страны Владимир Путин провел совещание в связи с аварией на шахте «Листвяжная», где погиб 51 человек. Специальный корреспондент “Ъ” Андрей Колесников отмечает, что совещание, которое начиналось слишком даже спокойно, в какой-то момент оказалось просто беспрецедентным по уровню разыгравшихся страстей.",Да,Трансформация фразеологизмов,,моя хата с краю,https://ru.wiktionary.org/wiki/моя_хата_с_краю,2021-02-12,
"Минск рубят, калий летит // Запад пошел в скоординированную санкционную атаку на Белоруссию","ЕС, Великобритания, США и Канада дали ответ на «вопиющее пренебрежение режимом Лукашенко международными нормами и благополучием своих граждан». Причиной расширения черных списков стал миграционный кризис, который, как уверены на Западе, был спровоцирован Минском. Не забыли авторы инициативы и о прежних раздражителях, в частности, упомянув «около 900 белорусских политзаключенных». Выступив одновременно, западные игроки при этом самостоятельно определили новых фигурантов своих черных списков. Лондон, например, решил наказать компанию «Беларуськалий», Брюссель — «Белавиа» и «Гродно Азот», а Вашингтон и Оттава — Дмитрия Лукашенко, сына белорусского лидера. Заявив, что «глубина абсурда» подобных решений «уже с трудом поддается пониманию», МИД республики пообещал «жесткие ответные меры».",Да,Трансформация фразеологизмов,,лес рубят — щепки летят,https://ru.wiktionary.org/wiki/лес_рубят_—_щепки_летят,2021-02-12,
«Спасибо» не положилось в карман // Путь бонусов от Сбербанка к его клиентам оказался долгим,"В интернете появились массовые жалобы на Сбербанк, который не перечисляет клиентам бонусы «Спасибо». Проблемы начались в ноябре и сохраняются, если верить отзывам клиентов, до сих пор. Технический сбой, как его называют эксперты, совпал с сезоном распродаж, так называемой черной пятницей, которая в РФ растягивается на весь ноябрь. По мнению участников рынка, именно высокая покупательная активность, могла стать причиной сбоя бонусной программы Сбербанка, администрировать которую при слишком большом потоке данных оказалось проблематично. В банке обещают восстановить бонусы, но только по обращениям клиентов.",Да,Трансформация фразеологизмов,,спасибо в карман не положишь,https://ru.wiktionary.org/wiki/спасибо_в_карман_не_положишь,2021-02-12,
Зерно вопрос // «Русские фонды» могут приобрести терминал в Таганроге,"Инвестиционная группа «Русские фонды» задумалась о выходе на зерновой рынок. Так, ее структуры могут приобрести Таганрогский зерновой терминал мощностью 1,2 млн тонн в год у компании «Зерно-трейд», владельцем которой называют бывшего топ-менеджера ЛУКОЙЛа Александра Раппопорта. Заработать в этом бизнесе в условиях усиления регулирования экспорта зерна будет крайне сложно.",Да,Трансформация фразеологизмов,,Говно вопрос,https://ru.wiktionary.org/wiki/говно_вопрос,2021-02-12,
Мясо зеленеет // Растет спрос на растительные аналоги,"Рынок растительных аналогов молочных и мясных продуктов в России заметно растет. По подсчетам NielsenIQ, за год продажи этих категорий увеличились на 19% в объеме и на 18% в деньгах, а дополнительную поддержку рынку может придать рост цен на продукты животного происхождения.",Да,Полисемия,,,,2021-03-12,
Теория без практики суха // Медвузы отправляют студентов на помощь врачам,"Студенты старших курсов МГМУ имени Сеченова ближайшие полтора месяца будут проходить практику в поликлиниках Москвы. Схожие решения, выяснил “Ъ”, приняты и в других регионах. В медицинском профсоюзе полагают, что таким образом можно восполнить дефицит рабочих рук в поликлиниках, но на учебном процессе это может сказаться негативно. В университете подчеркивают, что практика в поликлиниках соответствует учебному плану. В Университете имени Пирогова такую практику не проводят, но допускают на фоне пандемии трудоустройство студентов в московские медучреждения — по выбору учащихся и после аттестации в вузе: только на прошлой неделе ее прошли 228 студентов. Опыт совмещения учебной практики с помощью медикам в условиях пандемии есть и в региональных медвузах.",Да,Отсылка к прецедентным текстам,,"Теория без практики мертва, практика без теории слепа.",нет,2021-03-11,
Удобрения дорастут до падения // Цены начнут снижаться через год,"Стоимость минудобрений в 2022 году продолжит бить многолетние рекорды, но уже в 2023 году может рухнуть примерно вдвое, считают аналитики. Взлет цен в этом году снизил покупательную способность аграриев, и текущая стоимость калийных и фосфорных удобрений выглядит «не вполне обоснованной». Сегмент азотных удобрений страдает из-за резкого удорожания газа, но эксперты ждут долгосрочного тренда снижения цен на все виды удобрений со второго квартала 2022 года.",Да,Оксюморон,,,,2021-02-11,
Бой с двумя тенями // Тайсон Фьюри и Деонтей Уайлдер вновь оспаривают чемпионский титул WBC в супертяжелом весе,"В субботу в Лас-Вегасе британец Тайсон Фьюри будет отстаивать титул чемпиона мира в супертяжелом весе по версии Всемирного боксерского совета (WBC) в поединке против американца Деонтея Уайлдера. Он будет уже третьим для этих бойцов. А предыдущие два если о чем-то и говорят, то только о том, что пытаться спрогнозировать, что произойдет в ринге, совершенно бессмысленно.",Да,Отсылка к прецедентным текстам,,Бой с тенью,https://ru.wikipedia.org/wiki/Бой_с_тенью_(фильм),2021-07-10,
Залет нормальный // Владелицу вертолета арестовали за оказание смертельной услуги пассажирам,"По ходатайству следствия была арестована владелица вертолета Robinson R44 Татьяна Горчакова, организовавшая в минувшие выходные коммерческий полет, в котором погибли пилот и двое его пассажиров. Причина происшедшей катастрофы еще не определена, однако уже сейчас можно говорить о том, что трагедии способствовала «экономность» обвиняемой. По данным источника “Ъ”, свой R44, считающийся типовым воздушным судном, она зарегистрировала как «единичный экземпляр», формально пригодный только для орошения полей и наблюдения за лесными пожарами, в то время как реально машина использовалась для платных экскурсий.",Да,Отсылка к прецедентным текстам,,Пять минут полет нормальный,нет,2021-07-10,
Миссия сократима // Как Россия может ответить на высылку своих дипломатов из постпредства при НАТО,"“Ъ” стало известно, какие меры рассматриваются российскими властями в качестве ответа на решение НАТО вдвое сократить размер миссии РФ при альянсе. С большой долей вероятности будут предприняты шаги в отношении Военной миссии связи НАТО в Москве, действующей под эгидой посольства Бельгии. При этом источники “Ъ” не исключают, что Россия вообще закроет свое постпредство при НАТО.",Да,Отсылка к прецедентным текстам,,Миссия: невыполнима,https://ru.wikipedia.org/wiki/Миссия_невыполнима_(фильм),2021-07-10,
У клиентов Сбербанка накопилось // Средства на накопительных счетах растут быстрее срочных депозитов,"Сбербанк отчитался о росте средств клиентов, который пришелся на текущие и накопительные счета. В то же время объем рублевых срочных вкладов вырос лишь на фоне выплат в рамках господдержки, тогда как с прошлого года остатки на них уверенно снижаются. Между тем конкуренты отмечают возрастающий интерес клиентов именно к срочным депозитам на фоне роста ставок и инфляции. Тогда как текущие счета несут риски резкого снижения маржи при необходимости удержания вкладчиков.",Да,Полисемия,,,,2021-07-10,
Сжиженно важное решение // «Газпром» может увеличить мощность СПГ-завода в Усть-Луге на треть,"«Русхимальянс» (по 50% у «Газпрома» и «Русгаздобычи» Артема Оболенского) рассчитывает добавить еще одну технологическую линию к своему проекту по сжижению газа на Балтике. Таким образом, мощность СПГ-завода может возрасти на 6,5 млн тонн, до 19,5 млн тонн. Ее запуск, по данным “Ъ”, запланирован на 2026 год. По оценкам аналитиков, строительство третьей линии может обойтись оператору проекта в $6–7 млрд.",Да,Трансформация устойчивых сочетаний,,,нет,2021-07-10,
"Андрея Бабиша пытаются опандорить // Голосование покажет, сможет ли премьер Чехии сохранить свой пост после появившегося «компромата»","В Чехии в пятницу стартуют двухдневные парламентские выборы. Особую интригу им придает тот факт, что за неделю до открытия избирательных участков Международный консорциум журналистов-расследователей опубликовал так называемое «Досье Пандоры», в котором среди сотен известных людей из разных стран, пользовавшихся услугами офшорных компаний, фигурирует чешский премьер-министр и миллиардер Андрей Бабиш. Голосование должно ответить на вопрос, помешает ли такой «компромат» на премьера победить его партии «Акция недовольных граждан» (ANO).",Да,Словообразование,,,,2021-08-10,
"Брифинг о потерянном времени // Сергей Лавров рассказал европейскому бизнесу, почему деградировали отношения России и ЕС","Россия считает последние семь лет периодом упущенных возможностей в отношениях с Евросоюзом, но готова работать над их улучшением, если будет встречное движение со стороны ЕС. Об этом на встрече с представителями Ассоциации европейского бизнеса (АЕБ) в пятницу заявил глава МИД РФ Сергей Лавров. Западных предпринимателей же интересовала не только геополитика, но и условия их работы в России.",Да,Отсылка к прецедентным текстам,,сказка о потерянном времени,https://ru.wikipedia.org/wiki/Сказка_о_потерянном_времени_(сказка),2021-08-10,
Столетняя волна // Нетрафаретная история поп-музыки в «Главных песнях ХХ века» Александра Кана,"В издательстве АСТ вышла книга музыкального критика, журналиста BBC Александра Кана «Главные песни XX века: от диксиленда до хип-хопа». Автор называет книгу «песенным портретом века». Борис Барабанов рекомендует этот труд не столько как музыковедческий, сколько как исторический.",Да,Отсылка к прецедентным текстам,,столетняя война,https://ru.wikipedia.org/wiki/Столетняя_война,2021-09-10,
Радости скупые инстаграмы // В «Главклубе» выступил Лев Лещенко,"На одной из главных рок-н-ролльных площадок Москвы прошел концерт главного «соловья застоя» Льва Лещенко. Мероприятие прошло под девизом «Верните мне мой 1977-й». Борису Барабанову показалось, что организаторы подошли к воплощению этого слогана в жизнь слишком серьезно.",Да,Отсылка к прецедентным текстам,,Радости скупые телеграммы,нет,2021-11-10,
Новые вершины для Северного Кавказа // Минэкономики переосмысливает программу развития макрорегиона,"Минэкономики переформатировало госпрограмму развития Северного Кавказа до 2030 года и обновило ее цели. В число приоритетов возвращено решение социальных проблем региона — это, например, высокая младенческая смертность и учеба в школах в третью смену. Экономические цели остаются прежними — это рост турпотока на Северный Кавказ и наращивание частных инвестиций. Впрочем, последний показатель, несмотря на новые меры стимулирования внебюджетных вложений, по сравнению с текущей версией программы снижен — с 155 млрд руб. до 113,7 млрд руб. к 2031 году.",Да,Полисемия,,,,2021-11-10,
С корабля на трибунал // Конфликт между Россией и Украиной перетек из Керченского пролива в Гаагу,"Арбитражный трибунал в Гааге в понедельник начал слушания по делу об инциденте в Керченском проливе в ноябре 2018 года. Украина пытается доказать, что РФ тогда «грубо нарушила» Конвенцию ООН по морскому праву. Глава МИД республики Дмитрий Кулеба назвал дело определяющим для всего мира, пообещав: Москва обязательно будет привлечена к ответственности. Российская же сторона настаивает на том, что жалоба Киева не подпадает под юрисдикцию трибунала, и уже в первый день слушаний привела свои аргументы.",Да,Трансформация устойчивых сочетаний,,С корабля на бал,https://ru.wiktionary.org/wiki/с_корабля_на_бал,2021-11-10,
С чувством неглубокого удовлетворения // Госдума восьмого созыва начнет работу с решения кадровых вопросов,"Во вторник состоится первое заседание Госдумы восьмого созыва. Накануне рабочая группа по его подготовке окончательно определилась с составами комитетов и кандидатами на руководящие посты, которых и предстоит утвердить на первой пленарке. В оппозиционных фракциях отмечают, что их ключевые предложения в целом были учтены. Пристроили на должности заместителей и большинство председателей комитетов из седьмого созыва, которые потеряли свои посты в новой Думе.",Да,Трансформация устойчивых сочетаний,,чувство глубокого удовлетворения,нет,2021-11-10,
